id,url,cheers_matches,entreq_matches,moose_matches,cherries_matches,arrive_matches,arrive_domain_matches,care_matches,care_domain_matches,prisma_matches,coreq_matches,consort_matches,consort_domain_matches,agree_matches,agree_domain_matches,EQUATOR_matches,EQUATOR_domain_domain_matches,cheers,entreq,moose,cherries,arrive,care,prisma,coreq,consort,agree,EQUATOR,Guidelines,title,languages,publisher,publication_types,mesh_headings,urls_raw,is_periodical,is_english,urls
9015384,https://academic.oup.com/tcbh,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,20 century British history.,['eng'],"['Oxford University Press,']",['Periodical'],"['History', 'United Kingdom']",['https://academic.oup.com/tcbh'],True,True,['https://academic.oup.com/tcbh']
101269322,https://aacnjournals.org/aacnacconline,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,AACN advanced critical care.,['eng'],"['Lippincott Williams & Wilkins,', 'American Association of Critical-Care Nurses (AACN)']","['Nurses Instruction', 'Periodical']","['Critical Care', 'Nursing Care']",['https://aacnjournals.org/aacnacconline'],True,True,['https://aacnjournals.org/aacnacconline']
0431420,https://www.aana.com/publications/aana-journal,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,AANA journal.,['eng'],['American Association of Nurse Anesthetists'],['Periodical'],"['Anesthesiology', 'Nursing']",['https://www.aana.com/publications/aana-journal'],True,True,['https://www.aana.com/publications/aana-journal']
101223209,https://www.springer.com/journal/12248,,,,,,,['CARE'],,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True,The AAPS journal.,['eng'],"['American Association of Pharmaceutical Scientists,']",['Periodical'],"['Drug Therapy', 'Pharmaceutical Preparations', 'Technology, Pharmaceutical']","['https://link.springer.com/journal/12248', 'https://www.ncbi.nlm.nih.gov/pmc/journals/792/']",True,True,['https://link.springer.com/journal/12248']
100960111,http://www.aapspharmscitech.org/,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,AAPS PharmSciTech.,['eng'],"['American Association of Pharmaceutical Scientists,', 'Springer']",['Periodical'],"['Biopharmaceutics', 'Dosage Forms', 'Drug Design', 'Drug Evaluation', 'Pharmaceutical Preparations']","['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249', 'https://www.ncbi.nlm.nih.gov/pmc/journals/793/']",True,True,"['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249']"
100960111,https://www.springer.com/journal/12249,,,,,,,['CARE'],,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True,AAPS PharmSciTech.,['eng'],"['American Association of Pharmaceutical Scientists,', 'Springer']",['Periodical'],"['Biopharmaceutics', 'Dosage Forms', 'Drug Design', 'Drug Evaluation', 'Pharmaceutical Preparations']","['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249', 'https://www.ncbi.nlm.nih.gov/pmc/journals/793/']",True,True,"['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249']"
101674571,https://www.springer.com/journal/261,,,,,,,['CARE'],,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True,Abdominal radiology.,['eng'],"['Springer,']",['Periodical'],"['Abdomen', 'Diagnostic Imaging', 'Gastrointestinal Diseases \n                 diagnosis']",['https://link.springer.com/journal/261'],True,True,['https://link.springer.com/journal/261']
9418450,https://onlinelibrary.wiley.com/journal/15532712,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine.,['eng'],"['Hanley & Belfus,', 'Wiley']",['Periodical'],['Emergency Medicine'],['http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712'],True,True,['http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712']
8904605,https://journals.lww.com/academicmedicine/pages/default.aspx,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Academic medicine : journal of the Association of American Medical Colleges.,['eng'],"['Hanley & Belfus,', 'Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins']",['Periodical'],"['Education, Medical']","['http://www.academicmedicine.org/', 'http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00001888-000000000-00000']",True,True,['http://www.academicmedicine.org/']
8917200,https://link.springer.com/journal/40596/volumes-and-issues,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry.,['eng'],"['American Psychiatric Press,', 'Springer']",['Periodical'],['Psychiatry \n                 education'],['https://link.springer.com/journal/volumesAndIssues/40596'],True,True,['https://link.springer.com/journal/volumesAndIssues/40596']
