url,id,cheers_matches,entreq_matches,moose_matches,cherries_matches,arrive_matches,arrive_matches,care_matches,care_matches,prisma_matches,coreq_matches,consort_matches,consort_matches,agree_matches,agree_matches,EQUATOR_matches,EQUATOR_domain_matches
https://academic.oup.com/tcbh,9015384,,,,,,,,,,,,,,,,
https://aacnjournals.org/aacnacconline,101269322,,,,,,,,,,,,,,,,
https://www.aana.com/publications/aana-journal,0431420,,,,,,,,,,,,,,,,
https://www.springer.com/journal/12248,101223209,,,,,,,['CARE'],['CARE'],,,,,,,,
http://www.aapspharmscitech.org/,100960111,,,,,,,,,,,,,,,,
https://www.springer.com/journal/12249,100960111,,,,,,,['CARE'],['CARE'],,,,,,,,
https://www.springer.com/journal/261,101674571,,,,,,,['CARE'],['CARE'],,,,,,,,
https://onlinelibrary.wiley.com/journal/15532712,9418450,,,,,,,,,,,,,,,,
https://journals.lww.com/academicmedicine/pages/default.aspx,8904605,,,,,,,,,,,,,,,,
https://link.springer.com/journal/40596/volumes-and-issues,8917200,,,,,,,,,,,,,,,,
https://aacnjournals.org/aacnacconline/pages/instructions_for_authors,101269322,,,,,,,,,,,,,,,,
https://academic.oup.com/tcbh/pages/general_instructions,9015384,,,,,,,,,,,,,,,,
https://onlinelibrary.wiley.com/page/journal/15532712/homepage/productinformation.html,9418450,,,,,,,,,,,,,,,,
https://www.springer.com/journal/261/submission-guidelines,101674571,['CHEERS'],,,,['ARRIVE'],['ARRIVE'],['CARE'],['CARE'],"['PRISMA', 'Prisma']",['COREQ'],['CONSORT'],['CONSORT'],['AGREE'],['AGREE'],['EQUATOR Network'],"['http://www.equator-network.org/', 'http://www.equator-network.org/reporting-guidelines/consort/', 'http://www.equator-network.org/reporting-guidelines/spirit-2013-statement-defining-standard-protocol-items-for-clinical-trials/', 'http://www.equator-network.org/reporting-guidelines/strobe/', 'http://www.equator-network.org/reporting-guidelines/prisma/', 'http://www.equator-network.org/reporting-guidelines/prisma-protocols/', 'http://www.equator-network.org/reporting-guidelines/stard/', 'http://www.equator-network.org/reporting-guidelines/tripod-statement/', 'http://www.equator-network.org/reporting-guidelines/care/', 'http://www.equator-network.org/reporting-guidelines/the-agree-reporting-checklist-a-tool-to-improve-reporting-of-clinical-practice-guidelines/', 'http://www.equator-network.org/reporting-guidelines/right-statement/', 'http://www.equator-network.org/reporting-guidelines/srqr/', 'http://www.equator-network.org/reporting-guidelines/coreq/', 'http://www.equator-network.org/reporting-guidelines/improving-bioscience-research-reporting-the-arrive-guidelines-for-reporting-animal-research/', 'http://www.equator-network.org/reporting-guidelines/squire/', 'http://www.equator-network.org/reporting-guidelines/cheers/']"
https://www.springer.com/journal/12249/submission-guidelines,100960111,,,,,,,,,,,,,,,,
https://www.springer.com/journal/12248/submission-guidelines,101223209,,,,,,,,,,,,,,,,
https://journals.lww.com/academicmedicine/pages/informationforauthors.aspx,8904605,,,,,,,,,,,,,,,,
